species,altitude,totalmass_dry,rootshootratio,above_groundmass,root_dry,RMR,leaf_totalmass,LMR,stem_dry,SMR,SLA,specific root length,root tissue density,specific root area,Root.Length.Diameter.Range.1.mm,Surface.Area.Diameter.Range.1.mm2,Volume.Diameter.Range.1.mm3
Erigeron canadensis,1388,6.92,0.267399267,5.46,1.46,0.210982659,2.94,0.424855491,2.52,0.36416185,2.81E+02,9710.784862,2.52E-06,101009.9454,10437.38768,19710.46121,4498.900354
Solidago canadensis,456,2.2939,0.176539981,1.9497,0.3442,0.150050133,0.8018,0.349535725,1.1479,0.500414142,1.76E+02,13480.85557,2.47E-05,42370.72241,4144.17317,6946.100919,1370.63745
Solidago canadensis,456,1.0827,0.272118435,0.8511,0.2316,0.21390967,0.3781,0.349219544,0.473,0.436870786,1.86E+02,17634.66048,1.86E-05,51025.11196,3722.454047,5580.652837,983.657773
Solidago canadensis,456,1.3954,0.269006912,1.0996,0.2958,0.211982227,0.5181,0.371291386,0.5815,0.416726387,1.83E+02,8279.166802,8.85E-06,54407.55353,1869.881377,3117.666777,631.141107
Solidago canadensis,456,5.9193,0.230112219,4.812,1.1073,0.187066038,2.1322,0.360211511,2.6798,0.45272245,1.70E+02,6659.949837,3.69E-05,28686.44818,5912.299255,11597.65386,2675.50216
Solidago canadensis,456,2.6535,0.232523573,2.1529,0.5006,0.188656491,0.9076,0.342038817,1.2453,0.469304692,1.96E+02,5612.660913,2.92E-05,27248.54523,2206.355302,4111.061413,936.758639
Solidago canadensis,456,3.1505,0.193959147,2.6387,0.5118,0.162450405,1.0612,0.336835423,1.5775,0.500714172,1.51E+02,4431.470526,2.94E-05,25425.20658,1701.61448,3530.828804,885.511048
Erigeron annuus,1016,2.21,0.139175258,1.94,0.27,0.122171946,0.42,0.190045249,1.25,0.56561086,3.79E+02,8668.346952,1.11E-05,49371.61121,1851.874063,3071.03356,649.851199
Erigeron annuus,1016,3.75,0.132930514,3.31,0.44,0.117333333,0.63,0.168,2.22,0.592,4.26E+02,6318.195961,1.56E-05,31543.68273,2356.400173,3792.755336,782.338234
Erigeron annuus,1016,2.3,0.12195122,2.05,0.25,0.108695652,0.39,0.169565217,1.28,0.556521739,3.59E+02,6719.616616,1.54E-05,38098.80214,1319.181672,2305.668593,498.711879
Galinsoga quadriradiata,883,1.1953,0.091299187,1.0953,0.1,0.083661006,0.54,0.45176943,0.42,0.351376224,3.39E+02,33884.56014,4.81E-06,152378.3183,2737.067673,4635.947666,1009.236393
Galinsoga quadriradiata,883,1.02,0.120879121,0.91,0.11,0.107843137,0.54,0.529411765,0.29,0.284313725,4.26E+02,32005.01041,9.54E-06,97656.74026,3171.714235,4807.352926,911.576927
Galinsoga quadriradiata,883,0.5705,0.117531832,0.5105,0.06,0.105170903,0.33,0.578439965,0.16,0.280455741,4.82E+02,54905.87932,4.80E-06,184131.4669,2932.604536,4756.992444,942.323939
Galinsoga quadriradiata,883,0.9751,0.140334464,0.8551,0.12,0.123064301,0.53,0.543533997,0.29,0.297405394,5.57E+02,43680.77638,3.16E-06,178977.1911,4590.163886,7358.158616,1432.072678
Galinsoga quadriradiata,883,0.6625,0.11814346,0.5925,0.07,0.105660377,0.38,0.573584906,0.18,0.271698113,5.16E+02,49662.0773,6.94E-06,150909.8306,3125.075525,5019.05336,1000.328826
Galinsoga quadriradiata,680,0.411,0.078740157,0.381,0.03,0.072992701,0.22,0.535279805,0.15,0.364963504,6.71E+02,78585.26793,5.88E-06,208459.527,2146.715577,3168.804327,599.335704
Galinsoga quadriradiata,680,0.5517,0.145318663,0.4817,0.07,0.126880551,0.24,0.435019032,0.21,0.380641653,5.31E+02,54697.73114,6.45E-06,148939.2585,3524.182698,5003.662477,883.114227
Galinsoga quadriradiata,680,0.9805,0.166567519,0.8405,0.14,0.142784294,0.45,0.458949516,0.33,0.336562978,4.61E+02,45129.67352,3.60E-07,617691.1156,4262.047679,7537.602301,1679.675287
Galinsoga quadriradiata,680,0.7861,0.18015313,0.6661,0.12,0.152652334,0.39,0.496120087,0.24,0.305304669,5.17E+02,48885.53143,4.16E-06,157484.0872,5362.641725,8089.106265,1523.813293
Galinsoga quadriradiata,680,0.235,0.173826174,0.2002,0.0348,0.148085106,0.1115,0.474468085,0.08,0.340425532,6.16E+02,89792.42055,3.07E-06,306602.5674,2720.070842,4318.105377,865.66163
Galinsoga quadriradiata,680,0.3388,0.173130194,0.2888,0.05,0.147579693,0.17,0.501770956,0.1,0.295159386,5.77E+02,87347.33166,7.63E-06,199441.4507,4119.663896,6361.506103,1238.1252
Galinsoga quadriradiata,680,1.1052,0.110530547,0.9952,0.11,0.099529497,0.47,0.425262396,0.44,0.398117988,5.16E+02,51459.94792,4.42E-06,153390.9878,5221.445819,7542.397756,1377.077473
Erigeron annuus,938,1.73,0.116129032,1.55,0.18,0.104046243,0.44,0.25433526,0.89,0.514450867,3.13E+02,21407.47393,4.87E-06,110617.8306,3185.604553,5474.057455,1098.915089
Erigeron annuus,938,0.5908,0.403992395,0.4208,0.17,0.28774543,0.1308,0.221394719,0.24,0.406228842,2.63E+02,17799.08518,4.63E-05,38116.21804,2854.197488,4233.817306,738.986708
Erigeron annuus,938,0.4219,0.35267714,0.3119,0.11,0.26072529,0.0919,0.217824129,0.19,0.450343683,3.04E+02,15795.30847,1.11E-05,65787.03858,1507.701739,2669.920982,508.655393
Erigeron annuus,938,0.9948,0.163781001,0.8548,0.14,0.140731805,0.1248,0.125452352,0.64,0.643345396,3.14E+02,12910.11336,5.76E-06,93883.15944,1279.683764,2350.318172,535.55953
Erigeron annuus,938,0.7428,0.319829424,0.5628,0.18,0.242326333,0.1328,0.178782983,0.34,0.457727518,2.57E+02,13618.12148,2.87E-06,125371.7387,1771.33563,3173.356922,670.569915
Erigeron canadensis,938,4.14,0.137362637,3.64,0.5,0.120772947,1.64,0.396135266,2,0.483091787,272.8441176,11010.18518,6.03E-06,71495.39019,4429.212339,7947.233148,1710.449764
Erigeron canadensis,938,0.83,0.152777778,0.72,0.11,0.13253012,0.37,0.445783133,0.35,0.421686747,291.08,27032.44493,1.30E-05,80432.25065,2697.618226,4255.38783,783.461023
Erigeron canadensis,938,2.19,0.123076923,1.95,0.24,0.109589041,0.97,0.442922374,0.98,0.447488584,392.6,21974.55,1.67E-06,214291.8677,3591.378086,7137.744541,1718.352369
Erigeron canadensis,938,3.22,0.10652921,2.91,0.31,0.096273292,1.38,0.428571429,1.53,0.47515528,251.5580645,12144.92692,3.66E-06,112525.4521,2550.320694,5167.528675,1260.877363
Erigeron canadensis,938,1.79,0.193333333,1.5,0.29,0.162011173,0.51,0.284916201,0.99,0.553072626,434.7428571,18762.91679,3.35E-06,106631.4663,4664.11536,7339.889078,1323.764475
Erigeron canadensis,938,3.53,0.196610169,2.95,0.58,0.164305949,1.47,0.416430595,1.48,0.419263456,296.736,14255.77325,3.58E-06,108500.7186,6206.404923,12035.10178,2706.864484
Solidago canadensis,858,7.55,0.553497942,4.86,2.69,0.356291391,3.05,0.40397351,1.81,0.239735099,201.644086,7823.234159,7.59E-06,64853.54584,13953.41517,28857.10942,7393.864192
Solidago canadensis,858,6.65,0.314229249,5.06,1.59,0.239097744,2.03,0.305263158,3.03,0.455639098,211.2083333,6744.494769,1.42E-05,45796.9043,7414.593151,15901.97867,4023.323985
Solidago canadensis,858,9.49,0.427067669,6.65,2.84,0.299262381,4.12,0.434141201,2.53,0.266596417,195.9136364,8127.598086,1.05E-05,57711.54605,15781.19069,32798.54289,8253.095452
Solidago canadensis,347,2.67,0.230414747,2.17,0.5,0.187265918,1.24,0.464419476,0.93,0.348314607,182.4115385,8383.192138,1.68E-05,43176.87616,3327.491265,6666.309316,1619.632278
Solidago canadensis,347,4.52,0.192612137,3.79,0.73,0.161504425,2.13,0.471238938,1.66,0.367256637,176.5709677,9227.899519,3.22E-05,33509.44756,5800.747439,10746.46457,2320.345024
Solidago canadensis,347,4.8,0.25984252,3.81,0.99,0.20625,2.08,0.433333333,1.73,0.360416667,153.8119048,4590.801487,1.14E-05,44495.30084,2729.165851,5991.601005,1606.522236
Solidago canadensis,347,3.86,0.326460481,2.91,0.95,0.24611399,1.34,0.347150259,1.57,0.406735751,162.785,4572.585272,1.45E-05,38213.36549,2760.9833,6175.999482,1608.419646
Solidago canadensis,347,3.92,0.311036789,2.99,0.93,0.237244898,1.48,0.37755102,1.51,0.385204082,160.0482759,5530.305943,1.31E-05,46675.96032,3147.011287,6793.859324,1763.950014
